Item Code,Color Code,Grade,Batch No,SQM,Remarks
ERZ-3010,Green,ZPLP,EZ-017,705,In Stock
ERZ-3010,Green,ZPLP,EZ-029,708,In Stock
ERZ-3010,Green,ZPLP,EZ-030,880,In Stock
ERZ-3010,Green,ZPLP,EZ-031,881,In Stock
ERZ-6,NA,ZRD,EZ-002,90,In Stock
ERZ-7,NA,ZRD,EZ-006,91,In Stock
ERZ-8,NA,ZRD,EZ-005,93,In Stock
ERZ-9,NA,ZRD,EZ-001,72,In Stock
Mill Finish,NA,PL,EBB0680,509,In Stock
RZ-3004,Skygrey,ZPLP,RZ-007,690,In Stock
RZ-3004,Skygrey,ZPLP,RZ-008,536,In Stock
RZ-3004,Skygrey,ZPLP,RZ-009,689,In Stock
RZ-3004,Skygrey,ZPLP,RZ-010,686,In Stock
RZ-3004,Skygrey,ZPLP,RZ-011,690,In Stock
RZ-3005,Basalte,ZPLP,RZ-002,722,In Stock
RZ-3005,Basalte,ZPLP,RZ-003,723,In Stock
RZ-3005,Basalte,ZPLP,RZ-004,718,In Stock
RZ-3005,Basalte,ZPLP,RZ-005,724,In Stock
RZ-3005,Basalte,ZPLP,RZ-006,712,In Stock
RZ-3008,Blue,ZPLP,RZ-012,670,In Stock
RZ-3008,Blue,ZPLP,RZ-013,707,In Stock
RZ-3008,Blue,ZPLP,RZ-014,707,In Stock
RZ-3008,Blue,ZPLP,RZ-015,698,In Stock
RZ-3008,Blue,ZPLP,RZ-016,711,In Stock
RZ-3011,Black,ZPLP,RZ-017,296,In Stock
RZ-3011,Black,ZPLP,RZ-018,548,In Stock
RZ-3011,Black,ZPLP,RZ-019,700,In Stock
RZ-3011,Black,ZPLP,RZ-020,705,In Stock
RZ-3011,Black,ZPLP,RZ-021,707,In Stock
ZER-001,Back Coil,PL,VMZ-001,100,In Stock
